Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp47,709"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp48,695"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp54,578"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp40,704"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp46,552"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp37,476"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
64,Kalimantan Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,"Rp53,371"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Februari,
11,Aceh,Ayam Ras Pedaging,2022,Februari,
12,Sumatera Utara,Ayam Ras Pedaging,2022,Februari,"Rp21,021"
13,Sumatera Barat,Ayam Ras Pedaging,2022,Februari,
14,Riau,Ayam Ras Pedaging,2022,Februari,"Rp21,149"
15,Jambi,Ayam Ras Pedaging,2022,Februari,
16,Sumatera Selatan,Ayam Ras Pedaging,2022,Februari,"Rp18,453"
17,Bengkulu,Ayam Ras Pedaging,2022,Februari,
18,Lampung,Ayam Ras Pedaging,2022,Februari,"Rp21,482"
21,Kepulauan Riau,Ayam Ras Pedaging,2022,Februari,
32,Jawa Barat,Ayam Ras Pedaging,2022,Februari,"Rp21,143"
33,Jawa Tengah,Ayam Ras Pedaging,2022,Februari,"Rp18,192"
34,D.I Yogyakarta,Ayam Ras Pedaging,2022,Februari,
35,Jawa Timur,Ayam Ras Pedaging,2022,Februari,"Rp21,016"
36,Banten,Ayam Ras Pedaging,2022,Februari,"Rp21,791"
51,Bali,Ayam Ras Pedaging,2022,Februari,"Rp21,835"
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2022,Februari,"Rp25,000"
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2022,Februari,
61,Kalimantan Barat,Ayam Ras Pedaging,2022,Februari,"Rp28,000"
62,Kalimantan Tengah,Ayam Ras Pedaging,2022,Februari,"Rp26,720"
63,Kalimantan Selatan,Ayam Ras Pedaging,2022,Februari,"Rp26,912"
64,Kalimantan Timur,Ayam Ras Pedaging,2022,Februari,
71,Sulawesi Utara,Ayam Ras Pedaging,2022,Februari,
72,Sulawesi Tengah,Ayam Ras Pedaging,2022,Februari,
73,Sulawesi Selatan,Ayam Ras Pedaging,2022,Februari,"Rp22,330"
74,Sulawesi Tenggara,Ayam Ras Pedaging,2022,Februari,
75,Gorontalo,Ayam Ras Pedaging,2022,Februari,
76,Sulawesi Barat,Ayam Ras Pedaging,2022,Februari,
11,Aceh,Telur Ayam Ras,2022,Februari,
12,Sumatera Utara,Telur Ayam Ras,2022,Februari,"Rp19,476"
13,Sumatera Barat,Telur Ayam Ras,2022,Februari,"Rp17,923"
14,Riau,Telur Ayam Ras,2022,Februari,
15,Jambi,Telur Ayam Ras,2022,Februari,
16,Sumatera Selatan,Telur Ayam Ras,2022,Februari,"Rp16,667"
17,Bengkulu,Telur Ayam Ras,2022,Februari,
18,Lampung,Telur Ayam Ras,2022,Februari,"Rp18,942"
21,Kepulauan Riau,Telur Ayam Ras,2022,Februari,
32,Jawa Barat,Telur Ayam Ras,2022,Februari,"Rp17,957"
33,Jawa Tengah,Telur Ayam Ras,2022,Februari,"Rp17,966"
34,D.I Yogyakarta,Telur Ayam Ras,2022,Februari,
35,Jawa Timur,Telur Ayam Ras,2022,Februari,"Rp17,644"
36,Banten,Telur Ayam Ras,2022,Februari,"Rp16,106"
51,Bali,Telur Ayam Ras,2022,Februari,"Rp17,331"
52,Nusa Tenggara Barat,Telur Ayam Ras,2022,Februari,
53,Nusa Tenggara Timur,Telur Ayam Ras,2022,Februari,
61,Kalimantan Barat,Telur Ayam Ras,2022,Februari,"Rp21,133"
62,Kalimantan Tengah,Telur Ayam Ras,2022,Februari,
63,Kalimantan Selatan,Telur Ayam Ras,2022,Februari,"Rp20,620"
64,Kalimantan Timur,Telur Ayam Ras,2022,Februari,
71,Sulawesi Utara,Telur Ayam Ras,2022,Februari,
72,Sulawesi Tengah,Telur Ayam Ras,2022,Februari,
73,Sulawesi Selatan,Telur Ayam Ras,2022,Februari,"Rp17,469"
74,Sulawesi Tenggara,Telur Ayam Ras,2022,Februari,
75,Gorontalo,Telur Ayam Ras,2022,Februari,
76,Sulawesi Barat,Telur Ayam Ras,2022,Februari,
11,Aceh,Cabai Rawit Merah,2022,Maret,"Rp37,000"
12,Sumatera Utara,Cabai Rawit Merah,2022,Maret,"Rp46,667"
13,Sumatera Barat,Cabai Rawit Merah,2022,Maret,
14,Riau,Cabai Rawit Merah,2022,Maret,
15,Jambi,Cabai Rawit Merah,2022,Maret,
16,Sumatera Selatan,Cabai Rawit Merah,2022,Maret,
17,Bengkulu,Cabai Rawit Merah,2022,Maret,
18,Lampung,Cabai Rawit Merah,2022,Maret,"Rp44,231"
21,Kepulauan Riau,Cabai Rawit Merah,2022,Maret,
32,Jawa Barat,Cabai Rawit Merah,2022,Maret,"Rp39,392"
33,Jawa Tengah,Cabai Rawit Merah,2022,Maret,"Rp39,727"
34,D.I Yogyakarta,Cabai Rawit Merah,2022,Maret,"Rp43,236"
35,Jawa Timur,Cabai Rawit Merah,2022,Maret,"Rp36,606"
36,Banten,Cabai Rawit Merah,2022,Maret,
51,Bali,Cabai Rawit Merah,2022,Maret,"Rp48,695"
52,Nusa Tenggara Barat,Cabai Rawit Merah,2022,Maret,"Rp54,814"
53,Nusa Tenggara Timur,Cabai Rawit Merah,2022,Maret,
61,Kalimantan Barat,Cabai Rawit Merah,2022,Maret,
62,Kalimantan Tengah,Cabai Rawit Merah,2022,Maret,
