Kode Provinsi,Nama Provinsi,Tahun,Bulan,Curah Hujan
61,Kalimantan Barat,2022,Oktober,10.36
61,Kalimantan Barat,2022,November,14.45
61,Kalimantan Barat,2022,Desember,13.29
62,Kalimantan Tengah,2022,Januari,8.56
62,Kalimantan Tengah,2022,Februari,10.76
62,Kalimantan Tengah,2022,Maret,8.35
62,Kalimantan Tengah,2022,April,8.76
62,Kalimantan Tengah,2022,Mei,8.04
62,Kalimantan Tengah,2022,Juni,14.43
62,Kalimantan Tengah,2022,Juli,11.52
62,Kalimantan Tengah,2022,Agustus,9.41
62,Kalimantan Tengah,2022,September,15.24
62,Kalimantan Tengah,2022,Oktober,16.76
62,Kalimantan Tengah,2022,November,10.91
62,Kalimantan Tengah,2022,Desember,9.6
63,Kalimantan Selatan,2022,Januari,10.56
63,Kalimantan Selatan,2022,Februari,10.19
63,Kalimantan Selatan,2022,Maret,13.55
63,Kalimantan Selatan,2022,April,6.01
63,Kalimantan Selatan,2022,Mei,6.16
63,Kalimantan Selatan,2022,Juni,25.65
63,Kalimantan Selatan,2022,Juli,5.74
63,Kalimantan Selatan,2022,Agustus,8.29
63,Kalimantan Selatan,2022,September,8.86
63,Kalimantan Selatan,2022,Oktober,5.72
63,Kalimantan Selatan,2022,November,10.81
63,Kalimantan Selatan,2022,Desember,3.84
64,Kalimantan Timur,2022,Januari,12.06
64,Kalimantan Timur,2022,Februari,6.66
64,Kalimantan Timur,2022,Maret,11.46
64,Kalimantan Timur,2022,April,13.92
64,Kalimantan Timur,2022,Mei,16.37
64,Kalimantan Timur,2022,Juni,8.7
64,Kalimantan Timur,2022,Juli,12.03
64,Kalimantan Timur,2022,Agustus,4.14
64,Kalimantan Timur,2022,September,9.11
64,Kalimantan Timur,2022,Oktober,12.84
64,Kalimantan Timur,2022,November,7.95
64,Kalimantan Timur,2022,Desember,6.88
65,Kalimantan Utara,2022,Januari,9.74
65,Kalimantan Utara,2022,Februari,7.96
65,Kalimantan Utara,2022,Maret,10.41
65,Kalimantan Utara,2022,April,6.33
65,Kalimantan Utara,2022,Mei,9.73
65,Kalimantan Utara,2022,Juni,7.02
65,Kalimantan Utara,2022,Juli,10.84
65,Kalimantan Utara,2022,Agustus,6.58
65,Kalimantan Utara,2022,September,13.75
65,Kalimantan Utara,2022,Oktober,6.8
65,Kalimantan Utara,2022,November,8.88
65,Kalimantan Utara,2022,Desember,5.73
71,Sulawesi Utara,2022,Januari,6.41
71,Sulawesi Utara,2022,Februari,7.28
71,Sulawesi Utara,2022,Maret,8.6
71,Sulawesi Utara,2022,April,7.55
71,Sulawesi Utara,2022,Mei,8.06
71,Sulawesi Utara,2022,Juni,5.31
71,Sulawesi Utara,2022,Juli,7.6
71,Sulawesi Utara,2022,Agustus,5.23
71,Sulawesi Utara,2022,September,6.45
71,Sulawesi Utara,2022,Oktober,7.09
71,Sulawesi Utara,2022,November,8.45
71,Sulawesi Utara,2022,Desember,5.7
72,Sulawesi Tengah,2022,Januari,6.02
72,Sulawesi Tengah,2022,Februari,9.29
72,Sulawesi Tengah,2022,Maret,9.26
72,Sulawesi Tengah,2022,April,5.01
72,Sulawesi Tengah,2022,Mei,5.32
72,Sulawesi Tengah,2022,Juni,6.54
72,Sulawesi Tengah,2022,Juli,12.39
72,Sulawesi Tengah,2022,Agustus,6.68
72,Sulawesi Tengah,2022,September,8.7
72,Sulawesi Tengah,2022,Oktober,8.14
72,Sulawesi Tengah,2022,November,5.06
72,Sulawesi Tengah,2022,Desember,6.35
73,Sulawesi Selatan,2022,Januari,8.81
73,Sulawesi Selatan,2022,Februari,10.14
73,Sulawesi Selatan,2022,Maret,4.41
73,Sulawesi Selatan,2022,April,3.17
73,Sulawesi Selatan,2022,Mei,9.14
73,Sulawesi Selatan,2022,Juni,3.84
73,Sulawesi Selatan,2022,Juli,3.32
73,Sulawesi Selatan,2022,Agustus,1.48
73,Sulawesi Selatan,2022,September,2.01
73,Sulawesi Selatan,2022,Oktober,7.61
73,Sulawesi Selatan,2022,November,8.37
73,Sulawesi Selatan,2022,Desember,12.44
74,Sulawesi Tenggara,2022,Januari,5.86
74,Sulawesi Tenggara,2022,Februari,9.83
74,Sulawesi Tenggara,2022,Maret,11.77
74,Sulawesi Tenggara,2022,April,10.24
74,Sulawesi Tenggara,2022,Mei,8.25
74,Sulawesi Tenggara,2022,Juni,9.73
74,Sulawesi Tenggara,2022,Juli,7.94
74,Sulawesi Tenggara,2022,Agustus,10.03
74,Sulawesi Tenggara,2022,September,7.93
74,Sulawesi Tenggara,2022,Oktober,7.72
74,Sulawesi Tenggara,2022,November,8.8
74,Sulawesi Tenggara,2022,Desember,5.15
75,Gorontalo,2022,Januari,7.41
75,Gorontalo,2022,Februari,6.86
75,Gorontalo,2022,Maret,8.96
75,Gorontalo,2022,April,8.1
75,Gorontalo,2022,Mei,8.89
75,Gorontalo,2022,Juni,6.09
75,Gorontalo,2022,Juli,11.57
75,Gorontalo,2022,Agustus,3.96
75,Gorontalo,2022,September,5.27
75,Gorontalo,2022,Oktober,5.41
75,Gorontalo,2022,November,5.84
75,Gorontalo,2022,Desember,5.97
76,Sulawesi Barat,2022,Januari,9.1
76,Sulawesi Barat,2022,Februari,9.87
76,Sulawesi Barat,2022,Maret,4.8
76,Sulawesi Barat,2022,April,4.92
76,Sulawesi Barat,2022,Mei,8.09
76,Sulawesi Barat,2022,Juni,7.99
76,Sulawesi Barat,2022,Juli,5.43
76,Sulawesi Barat,2022,Agustus,5.57
76,Sulawesi Barat,2022,September,5.69
76,Sulawesi Barat,2022,Oktober,9.57
76,Sulawesi Barat,2022,November,10.78
76,Sulawesi Barat,2022,Desember,11.06
81,Maluku,2022,Januari,3.42
81,Maluku,2022,Februari,6.75
81,Maluku,2022,Maret,4.6
81,Maluku,2022,April,3.83
81,Maluku,2022,Mei,5.42
81,Maluku,2022,Juni,6.75
81,Maluku,2022,Juli,22.97
81,Maluku,2022,Agustus,16.62
81,Maluku,2022,September,10.04
81,Maluku,2022,Oktober,2.05
81,Maluku,2022,November,4.19
81,Maluku,2022,Desember,6.3
82,Maluku Utara,2022,Januari,8.52
82,Maluku Utara,2022,Februari,9.39
82,Maluku Utara,2022,Maret,6.88
82,Maluku Utara,2022,April,7.37
82,Maluku Utara,2022,Mei,15.6
82,Maluku Utara,2022,Juni,5.85
82,Maluku Utara,2022,Juli,15.45
82,Maluku Utara,2022,Agustus,6.92
82,Maluku Utara,2022,September,5.9
82,Maluku Utara,2022,Oktober,4.32
82,Maluku Utara,2022,November,5.69
82,Maluku Utara,2022,Desember,7.15
91,Papua,2022,Januari,12.26
91,Papua,2022,Februari,8.39
91,Papua,2022,Maret,5.26
91,Papua,2022,April,8.63
91,Papua,2022,Mei,3.56
91,Papua,2022,Juni,2.31
91,Papua,2022,Juli,5.01
91,Papua,2022,Agustus,3.45
91,Papua,2022,September,3.65
91,Papua,2022,Oktober,3.84
91,Papua,2022,November,4.54
91,Papua,2022,Desember,9.12
92,Papua Barat,2022,Januari,15.35
92,Papua Barat,2022,Februari,8.71
92,Papua Barat,2022,Maret,7.17
92,Papua Barat,2022,April,4.91
92,Papua Barat,2022,Mei,4.21
92,Papua Barat,2022,Juni,4.59
92,Papua Barat,2022,Juli,5.59
92,Papua Barat,2022,Agustus,5.4
92,Papua Barat,2022,September,4.53
92,Papua Barat,2022,Oktober,2.68
92,Papua Barat,2022,November,5.18
92,Papua Barat,2022,Desember,10.09
