Kode Provinsi,Nama Provinsi,Komoditas,Bulan,Tahun,Produksi (Ton),Harga
15,JAMBI,Cabai Rawit Merah,Februari,2022,1371,"Rp43,020"
16,SUMATERA SELATAN,Cabai Rawit Merah,Februari,2022,917,"Rp42,845"
17,BENGKULU,Cabai Rawit Merah,Februari,2022,2109,"Rp44,893"
18,LAMPUNG,Cabai Rawit Merah,Februari,2022,935,"Rp42,980"
19,KEPULAUAN BANGKA BELITUNG,Cabai Rawit Merah,Februari,2022,293,"Rp65,047"
21,KEPULAUAN RIAU,Cabai Rawit Merah,Februari,2022,182,"Rp70,395"
31,DKI JAKARTA,Cabai Rawit Merah,Februari,2022,,"Rp53,652"
32,JAWA BARAT,Cabai Rawit Merah,Februari,2022,16037,"Rp41,222"
33,JAWA TENGAH,Cabai Rawit Merah,Februari,2022,16482,"Rp34,510"
34,DI YOGYAKARTA,Cabai Rawit Merah,Februari,2022,893,"Rp31,530"
35,JAWA TIMUR,Cabai Rawit Merah,Februari,2022,48617,"Rp36,124"
36,BANTEN,Cabai Rawit Merah,Februari,2022,310,"Rp43,790"
51,BALI,Cabai Rawit Merah,Februari,2022,3342,"Rp36,921"
52,NUSA TENGGARA BARAT,Cabai Rawit Merah,Februari,2022,3163,"Rp35,946"
53,NUSA TENGGARA TIMUR,Cabai Rawit Merah,Februari,2022,1021,"Rp43,185"
61,KALIMANTAN BARAT,Cabai Rawit Merah,Februari,2022,578,"Rp82,275"
62,KALIMANTAN TENGAH,Cabai Rawit Merah,Februari,2022,441,"Rp74,155"
63,KALIMANTAN SELATAN,Cabai Rawit Merah,Februari,2022,718,"Rp66,796"
64,KALIMANTAN TIMUR,Cabai Rawit Merah,Februari,2022,608,"Rp59,345"
65,KALIMANTAN UTARA,Cabai Rawit Merah,Februari,2022,570,"Rp76,009"
71,SULAWESI UTARA,Cabai Rawit Merah,Februari,2022,1653,"Rp51,242"
72,SULAWESI TENGAH,Cabai Rawit Merah,Februari,2022,1888,"Rp47,219"
73,SULAWESI SELATAN,Cabai Rawit Merah,Februari,2022,1970,"Rp34,766"
74,SULAWESI TENGGARA,Cabai Rawit Merah,Februari,2022,293,"Rp44,989"
75,GORONTALO,Cabai Rawit Merah,Februari,2022,1257,"Rp51,115"
76,SULAWESI BARAT,Cabai Rawit Merah,Februari,2022,356,"Rp39,202"
81,MALUKU,Cabai Rawit Merah,Februari,2022,337,"Rp81,663"
82,MALUKU UTARA,Cabai Rawit Merah,Februari,2022,251,"Rp77,758"
91,PAPUA BARAT,Cabai Rawit Merah,Februari,2022,341,"Rp68,462"
94,PAPUA,Cabai Rawit Merah,Februari,2022,221,"Rp72,683"
95,PAPUA PEGUNUNGAN,Cabai Rawit Merah,Februari,2022,0,
11,ACEH,Daging Ayam Ras,Februari,2022,4053,"Rp30,665"
12,SUMATERA UTARA,Daging Ayam Ras,Februari,2022,16737,"Rp33,077"
13,SUMATERA BARAT,Daging Ayam Ras,Februari,2022,4568,"Rp29,169"
14,RIAU,Daging Ayam Ras,Februari,2022,4796,"Rp31,225"
15,JAMBI,Daging Ayam Ras,Februari,2022,3605,"Rp33,422"
16,SUMATERA SELATAN,Daging Ayam Ras,Februari,2022,10356,"Rp31,086"
17,BENGKULU,Daging Ayam Ras,Februari,2022,1123,"Rp35,155"
18,LAMPUNG,Daging Ayam Ras,Februari,2022,10713,"Rp31,975"
19,KEPULAUAN BANGKA BELITUNG,Daging Ayam Ras,Februari,2022,2354,"Rp39,487"
21,KEPULAUAN RIAU,Daging Ayam Ras,Februari,2022,1888,"Rp39,757"
31,DKI JAKARTA,Daging Ayam Ras,Februari,2022,,"Rp35,022"
32,JAWA BARAT,Daging Ayam Ras,Februari,2022,60830,"Rp34,833"
33,JAWA TENGAH,Daging Ayam Ras,Februari,2022,61942,"Rp33,688"
34,DI YOGYAKARTA,Daging Ayam Ras,Februari,2022,6439,"Rp33,231"
35,JAWA TIMUR,Daging Ayam Ras,Februari,2022,42070,"Rp32,693"
36,BANTEN,Daging Ayam Ras,Februari,2022,15363,"Rp35,720"
51,BALI,Daging Ayam Ras,Februari,2022,7002,"Rp37,072"
52,NUSA TENGGARA BARAT,Daging Ayam Ras,Februari,2022,2934,"Rp42,657"
53,NUSA TENGGARA TIMUR,Daging Ayam Ras,Februari,2022,1011,"Rp44,196"
61,KALIMANTAN BARAT,Daging Ayam Ras,Februari,2022,4841,"Rp44,667"
62,KALIMANTAN TENGAH,Daging Ayam Ras,Februari,2022,4036,"Rp43,555"
63,KALIMANTAN SELATAN,Daging Ayam Ras,Februari,2022,13012,"Rp35,652"
64,KALIMANTAN TIMUR,Daging Ayam Ras,Februari,2022,6909,"Rp42,662"
65,KALIMANTAN UTARA,Daging Ayam Ras,Februari,2022,235,"Rp44,641"
71,SULAWESI UTARA,Daging Ayam Ras,Februari,2022,1797,"Rp38,347"
72,SULAWESI TENGAH,Daging Ayam Ras,Februari,2022,1013,"Rp37,482"
73,SULAWESI SELATAN,Daging Ayam Ras,Februari,2022,10264,"Rp27,881"
74,SULAWESI TENGGARA,Daging Ayam Ras,Februari,2022,820,"Rp35,021"
75,GORONTALO,Daging Ayam Ras,Februari,2022,437,"Rp31,757"
76,SULAWESI BARAT,Daging Ayam Ras,Februari,2022,641,"Rp29,871"
81,MALUKU,Daging Ayam Ras,Februari,2022,10,"Rp49,521"
82,MALUKU UTARA,Daging Ayam Ras,Februari,2022,7,"Rp47,117"
91,PAPUA BARAT,Daging Ayam Ras,Februari,2022,92,"Rp47,268"
94,PAPUA,Daging Ayam Ras,Februari,2022,327,"Rp44,513"
11,ACEH,Daging Sapi Murni,Februari,2022,1344,"Rp148,014"
12,SUMATERA UTARA,Daging Sapi Murni,Februari,2022,1020,"Rp130,926"
13,SUMATERA BARAT,Daging Sapi Murni,Februari,2022,1469,"Rp129,757"
14,RIAU,Daging Sapi Murni,Februari,2022,757,"Rp135,464"
15,JAMBI,Daging Sapi Murni,Februari,2022,209,"Rp128,241"
16,SUMATERA SELATAN,Daging Sapi Murni,Februari,2022,6598,"Rp126,887"
17,BENGKULU,Daging Sapi Murni,Februari,2022,231,"Rp123,331"
18,LAMPUNG,Daging Sapi Murni,Februari,2022,1610,"Rp126,449"
19,KEPULAUAN BANGKA BELITUNG,Daging Sapi Murni,Februari,2022,140,"Rp132,068"
21,KEPULAUAN RIAU,Daging Sapi Murni,Februari,2022,54,"Rp141,459"
31,DKI JAKARTA,Daging Sapi Murni,Februari,2022,1290,"Rp124,568"
32,JAWA BARAT,Daging Sapi Murni,Februari,2022,5051,"Rp122,943"
33,JAWA TENGAH,Daging Sapi Murni,Februari,2022,3373,"Rp119,245"
34,DI YOGYAKARTA,Daging Sapi Murni,Februari,2022,270,"Rp124,731"
35,JAWA TIMUR,Daging Sapi Murni,Februari,2022,7280,"Rp112,075"
36,BANTEN,Daging Sapi Murni,Februari,2022,1451,"Rp126,500"
51,BALI,Daging Sapi Murni,Februari,2022,408,"Rp111,636"
52,NUSA TENGGARA BARAT,Daging Sapi Murni,Februari,2022,785,"Rp122,231"
53,NUSA TENGGARA TIMUR,Daging Sapi Murni,Februari,2022,1368,"Rp110,055"
61,KALIMANTAN BARAT,Daging Sapi Murni,Februari,2022,348,"Rp143,108"
62,KALIMANTAN TENGAH,Daging Sapi Murni,Februari,2022,449,"Rp137,443"
63,KALIMANTAN SELATAN,Daging Sapi Murni,Februari,2022,471,"Rp131,336"
64,KALIMANTAN TIMUR,Daging Sapi Murni,Februari,2022,592,"Rp137,739"
65,KALIMANTAN UTARA,Daging Sapi Murni,Februari,2022,37,"Rp143,204"
71,SULAWESI UTARA,Daging Sapi Murni,Februari,2022,264,"Rp125,431"
72,SULAWESI TENGAH,Daging Sapi Murni,Februari,2022,667,"Rp127,566"
